format,dataset,task,trans,feature,label,l_pre,l_mp,l_post,stage,agg,epoch,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
OGB,ogbg,graph,False,,,2,6,2,skipconcat,add,91,0.1253,0.0,626006.0,0.0981,0.0,0.967,0.0,0.7626,0.0,0.1721,0.0,0.2808,0.0,0.7943,0.0
OGB,ogbg,graph,False,,,2,6,2,skipconcat,max,60,0.1311,0.0,626006.0,0.1144,0.0,0.9648,0.0,0.6761,0.0,0.1169,0.0,0.1993,0.0,0.7651,0.0
OGB,ogbg,graph,False,,,2,6,2,skipconcat,mean,60,0.1339,0.0,626006.0,0.0827,0.0,0.9644,0.0,0.6459,0.0,0.1096,0.0,0.1874,0.0,0.7616,0.0
OGB,ogbg,graph,False,,,2,6,2,skipsum,add,70,0.1239,0.0,617088.0,0.0832,0.0,0.9661,0.0,0.6859,0.0,0.1737,0.0,0.2772,0.0,0.7991,0.0
OGB,ogbg,graph,False,,,2,6,2,skipsum,max,88,0.098,0.0,617088.0,0.1047,0.0,0.9722,0.0,0.7642,0.0,0.3709,0.0,0.4995,0.0,0.8819,0.0
OGB,ogbg,graph,False,,,2,6,2,skipsum,mean,69,0.1371,0.0,617088.0,0.0761,0.0,0.9635,0.0,0.5862,0.0,0.0828,0.0,0.1451,0.0,0.7359,0.0
OGB,ogbg,graph,False,,,2,6,3,skipconcat,add,95,0.1181,0.0,619925.0,0.0764,0.0,0.9672,0.0,0.7192,0.0,0.2037,0.0,0.3175,0.0,0.822,0.0
OGB,ogbg,graph,False,,,2,6,3,skipconcat,max,60,0.1265,0.0,619925.0,0.1149,0.0,0.9649,0.0,0.6397,0.0,0.1412,0.0,0.2314,0.0,0.7922,0.0
OGB,ogbg,graph,False,,,2,6,3,skipconcat,mean,79,0.1273,0.0,619925.0,0.0751,0.0,0.9661,0.0,0.6957,0.0,0.1688,0.0,0.2717,0.0,0.7859,0.0
OGB,ogbg,graph,False,,,2,6,3,skipsum,add,58,0.1401,0.0,620372.0,0.1508,0.0,0.963,0.0,0.562,0.0,0.0552,0.0,0.1005,0.0,0.7294,0.0
OGB,ogbg,graph,False,,,2,6,3,skipsum,max,18,0.1345,0.0,620372.0,0.1146,0.0,0.9633,0.0,0.5839,0.0,0.0649,0.0,0.1169,0.0,0.7598,0.0
OGB,ogbg,graph,False,,,2,6,3,skipsum,mean,53,0.138,0.0,620372.0,0.0788,0.0,0.9637,0.0,0.6022,0.0,0.0909,0.0,0.158,0.0,0.7201,0.0
OGB,ogbg,graph,False,,,2,8,2,skipconcat,add,78,0.1217,0.0,628802.0,0.0863,0.0,0.9671,0.0,0.7443,0.0,0.1843,0.0,0.2954,0.0,0.8043,0.0
OGB,ogbg,graph,False,,,2,8,2,skipconcat,max,40,0.1327,0.0,628802.0,0.1091,0.0,0.9644,0.0,0.6649,0.0,0.1015,0.0,0.1761,0.0,0.7634,0.0
OGB,ogbg,graph,False,,,2,8,2,skipconcat,mean,2,0.1478,0.0,628802.0,0.1119,0.0,0.9633,0.0,0.6812,0.0,0.0381,0.0,0.0723,0.0,0.6732,0.0
OGB,ogbg,graph,False,,,2,8,2,skipsum,add,84,0.1099,0.0,616051.0,0.1248,0.0,0.9694,0.0,0.7196,0.0,0.2979,0.0,0.4214,0.0,0.8345,0.0
OGB,ogbg,graph,False,,,2,8,2,skipsum,max,75,0.1187,0.0,616051.0,0.1278,0.0,0.9672,0.0,0.6967,0.0,0.22,0.0,0.3344,0.0,0.8068,0.0
OGB,ogbg,graph,False,,,2,8,2,skipsum,mean,55,0.1377,0.0,616051.0,0.0651,0.0,0.9635,0.0,0.5843,0.0,0.0844,0.0,0.1475,0.0,0.7354,0.0
OGB,ogbg,graph,False,,,2,8,3,skipconcat,add,97,0.124,0.0,636350.0,0.0568,0.0,0.9668,0.0,0.7282,0.0,0.1826,0.0,0.292,0.0,0.7995,0.0
OGB,ogbg,graph,False,,,2,8,3,skipconcat,max,34,0.1346,0.0,636350.0,0.1358,0.0,0.9644,0.0,0.6875,0.0,0.0893,0.0,0.158,0.0,0.7648,0.0
OGB,ogbg,graph,False,,,2,8,3,skipconcat,mean,75,0.1284,0.0,636350.0,0.0651,0.0,0.9659,0.0,0.6926,0.0,0.1591,0.0,0.2587,0.0,0.7731,0.0
OGB,ogbg,graph,False,,,2,8,3,skipsum,add,81,0.1176,0.0,617638.0,0.065,0.0,0.9677,0.0,0.7388,0.0,0.2135,0.0,0.3312,0.0,0.8155,0.0
OGB,ogbg,graph,False,,,2,8,3,skipsum,max,47,0.1291,0.0,617638.0,0.0691,0.0,0.9636,0.0,0.5697,0.0,0.1128,0.0,0.1883,0.0,0.7703,0.0
OGB,ogbg,graph,False,,,2,8,3,skipsum,mean,84,0.125,0.0,617638.0,0.0535,0.0,0.9664,0.0,0.7003,0.0,0.1802,0.0,0.2866,0.0,0.7884,0.0
